Sponsor,Composite Ticker,Composite Name,Constituent Ticker,Constituent Name,Weighting,Identifier,Date,Location,Exchange,Total Shares Held,Notional Value,Market Value,Sponsor Sector,Last Trade,Currency,BloombergSymbol,BloombergExchange,BloombergSector,BloombergIndustryGroup,Coupon,Maturity,Rating,Type,SharesOutstanding,MarketCap,Earnings,PE Ratio,Face,eSignalTicker,TimeZone,DividendAmt,LastDividendDate,DividendYield,FutVal,Sector,IndustryGroup,Industry,SubIndustry,CUSIP,ISIN,SEDOL
First Trust,BICK,First Trust BICK Index Fund ETF,'BBAS3.BZ,Banco do Brasil SA,0.0118,'BBAS3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Financials,25.99,BRL,BBAS3:BZ,BM&FBOVESPA,Financial,Commer Banks Non-US,,,,Global Equity ETF,2865.42,76850.48,4.267,6.2855,,BBAS3-BSP,-3,0.261,3/4/13,3.89,,,,,,,'BRBBASACNOR3,'2328595
First Trust,BICK,First Trust BICK Index Fund ETF,'UGPA3.BZ,Ultrapar Participacoes SA,0.0118,'UGPA3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Energy,50.57,BRL,UGPA3:BZ,BM&FBOVESPA,Basic Materials,Petrochemicals,,,,Global Equity ETF,544.38,27681.93,1.8933,26.8579,,UGPA3-BSP,-3,0.66,2/28/13,2.6,,,,,,,,'B0FHTN1
First Trust,BICK,First Trust BICK Index Fund ETF,'SBS,Cia de Saneamento Basico do Estado de Sao Paulo,0.0114,'SBS,3/14/13,United States,New York,,,,Utilities,45.72,USD,SBS:US,New York,Utilities,Water,,,,Global Equity ETF,227.84,11077.42,0,0,,SBS,-5,1.0362,2/17/12,,,,,,,'20441A102,'US20441A1025,'2945927
First Trust,BICK,First Trust BICK Index Fund ETF,'ITUB,Itau Unibanco Holding SA,0.0113,'ITUB,3/14/13,United States,New York,,,,Financials,18.07,USD,ITUB:US,New York,Financial,Commer Banks Non-US,,,,Global Equity ETF,2281.65,80242.55,0,0,,ITUB,-5,0.1535,3/6/13,0.52,,,,,,'465562106,'US4655621062,'2849739
First Trust,BICK,First Trust BICK Index Fund ETF,'ITSA4.BZ,Itausa - Investimentos Itau SA,0.0112,'ITSA4BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Financials,10.5,BRL,ITSA4:BZ,BM&FBOVESPA,Diversified,Diversified Operations,,,,Global Equity ETF,2981.17,57572.86,0.9992,10.3683,,ITSA4-BSP,-3,0.015,3/1/13,0.58,,,,,,,'BRITSAACNPR7,'2458771
First Trust,BICK,First Trust BICK Index Fund ETF,'6030.HK,CITIC Securities Co. Ltd. (H Shares),0.0112,'6030HK,3/14/13,,,,,,Financials,, ,,,,,,,,Global Equity ETF,,,,,,,,,,,,,,,,,,
First Trust,BICK,First Trust BICK Index Fund ETF,'CCRO3.BZ,CCR SA,0.0111,'CCRO3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Industrials,19.3,BRL,CCRO3:BZ,BM&FBOVESPA,Consumer Non-cyclical,Public Thoroughfares,,,,Global Equity ETF,1765.59,35205.81,1.0329,19.3045,,CCRO3-BSP,-3,0.54,10/1/12,5.42,,,,,,,'BRCCROACNOR2,'2840970
First Trust,BICK,First Trust BICK Index Fund ETF,'BRFS3.BZ,BRF - Brasil Foods SA,0.0111,'BRFS3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Consumer Staples,43.23,BRL,BRFS3:BZ,BM&FBOVESPA,Consumer Non-cyclical,Food-Meat Products,,,,Global Equity ETF,872.47,37394.2,0.4277,100.2142,,BRFS3-BSP,-3,0.1707,1/2/13,,,,,,,,'BRBRFSACNOR8,'2036995
First Trust,BICK,First Trust BICK Index Fund ETF,'BBD,Banco Bradesco SA,0.0108,'BBD,3/14/13,United States,New York,,,,Financials,18.41,USD,BBD:US,New York,Financial,Commer Banks Non-US,,,,Global Equity ETF,1912.4,68693.31,0,0,,BBD,-5,0.009,3/4/13,0.2,,,,,,'059460303,'US0594603039,'B00FSK0
First Trust,BICK,First Trust BICK Index Fund ETF,'700.HK,Tencent Holdings Ltd,0.0108,'700HK,3/14/13,China,Hong Kong,,,,Information Technology,263.2,HKD,700:HK,Hong Kong,Communications,Internet Applic Sftwr,,,,Global Equity ETF,1853.98,497979.28,6.481,33.2591,,0700-HKG,8,0.75,5/18/12,0.28,,,,,,,'KYG875721485,'B01CT30
