Sponsor,Composite Ticker,Composite Name,Constituent Ticker,Constituent Name,Weighting,Identifier,Date,Location,Exchange,Total Shares Held,Notional Value,Market Value,Sponsor Sector,Last Trade,Currency,BloombergSymbol,BloombergExchange,BloombergSector,BloombergIndustryGroup,Coupon,Maturity,Rating,Type,SharesOutstanding,MarketCap,Earnings,PE Ratio,Face,eSignalTicker,TimeZone,DividendAmt,LastDividendDate,DividendYield,FutVal,Sector,IndustryGroup,Industry,SubIndustry,CUSIP,ISIN,SEDOL
First Trust,BICK,First Trust BICK Index Fund ETF,'2628.HK,China Life Insurance Co Ltd,0.0093,'2628HK,3/14/13,China,Hong Kong,,,,Financials,21.1,HKD,2628:HK,Hong Kong,Financial,Life/Health Insurance,,,,Global Equity ETF,7441.18,648673.44,0.53,35.0527,,2628-HKG,8,0.207,5/24/12,1.22,,,,,,,'CNE1000002L3,'6718976
First Trust,BICK,First Trust BICK Index Fund ETF,'SID,Cia Siderurgica Nacional SA,0.0093,'SID,3/14/13,United States,New York,,,,Materials,4.91,USD,SID:US,New York,Basic Materials,Steel-Producers,,,,Global Equity ETF,1457.97,7216.95,0,0,,SID,-5,0.1012,1/3/13,2.05,,,,,,'20440W105,'US20440W1053,'2220936
First Trust,BICK,First Trust BICK Index Fund ETF,'096770.KS,SK Innovation Co Ltd,0.0093,'096770KS,3/14/13,Korea,Korea SE,,,,Energy,162500,KRW,096770:KS,Korea SE,Energy,Oil Refining&Marketing,,,,Global Equity ETF,92.47,16458870,34004,5.2347,,096770-KOR,9,3,12/27/12,1.8,,,,,,,,'B232R05
First Trust,BICK,First Trust BICK Index Fund ETF,'USIM5.BZ,Usinas Siderurgicas de Minas Gerais SA,0.0093,'USIM5BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Materials,10.49,BRL,USIM5:BZ,BM&FBOVESPA,Basic Materials,Steel-Producers,,,,Global Equity ETF,508.44,10203.17,-0.6479,0,,USIM5-BSP,-3,0.0736,3/20/12,,,,,,,,'BRUSIMACNPA6,'2386009
First Trust,BICK,First Trust BICK Index Fund ETF,'003600.KS,SK Holdings Co Ltd,0.0093,'003600KS,3/14/13,Korea,Korea SE,,,,Industrials,167000,KRW,003600:KS,Korea SE,Energy,Oil Refining&Marketing,,,,Global Equity ETF,46.96,8265279,40299,4.3674,,003600-KOR,9,2,12/27/12,1.42,,,,,,,,'6988371
First Trust,BICK,First Trust BICK Index Fund ETF,'728.HK,China Telecom Corp Ltd,0.0092,'728HK,3/14/13,China,Hong Kong,,,,Telecommunication Services,3.99,HKD,728:HK,Hong Kong,Communications,Telecom Services,,,,Global Equity ETF,13877.41,324538.81,0.19,16.937,,0728-HKG,8,0.0765,6/5/12,2.12,,,,,,,'CNE1000002V2,'6559335
First Trust,BICK,First Trust BICK Index Fund ETF,'VALE,Vale SA,0.0092,'VALE,3/14/13,United States,New York,,,,Materials,17.44,USD,VALE:US,New York,Basic Materials,Metal-Iron,,,,Global Equity ETF,3256.72,97944.95,0,0,,VALE,-5,0.3098,10/17/12,1.75,,,,,,'91912E105,'US91912E1055,'2857334
First Trust,BICK,First Trust BICK Index Fund ETF,'1171.HK,Yanzhou Coal Mining Co Ltd,0.0091,'1171HK,3/14/13,China,Hong Kong,,,,Energy,10.98,HKD,1171:HK,Hong Kong,Energy,Coal,,,,Global Equity ETF,1958.4,87661.84,1.7272,5.5012,,1171-HKG,8,0.513,7/4/12,5.88,,,,,,,'CNE1000004Q8,'6109893
First Trust,BICK,First Trust BICK Index Fund ETF,'006400.KS,Samsung SDI Co Ltd,0.0091,'006400KS,3/14/13,Korea,Korea SE,,,,Information Technology,140000,KRW,006400:KS,Korea SE,Communications,Wireless Equipment,,,,Global Equity ETF,45.56,6332609.5,33920,4.0979,,006400-KOR,9,1,12/27/12,1.08,,,,,,,,'6771645
First Trust,BICK,First Trust BICK Index Fund ETF,'036570.KS,NCSoft Corp,0.0091,'036570KS,3/14/13,Korea,Korea SE,,,,Information Technology,146000,KRW,036570:KS,Korea SE,Communications,Internet Content-Entmnt,,,,Global Equity ETF,21.9,3131577.75,6097,23.4542,,036570-KOR,9,600,12/27/12,0.42,,,,,,,,'6264189
First Trust,BICK,First Trust BICK Index Fund ETF,'010140.KS,Samsung Heavy Industries Co Ltd,0.0091,'010140KS,3/14/13,Korea,Korea SE,,,,Industrials,35850,KRW,010140:KS,Korea SE,Industrial,Shipbuilding,,,,Global Equity ETF,230.88,8923334,3930,9.8346,,010140-KOR,9,500,12/27/12,1.29,,,,,,,,'6772217
First Trust,BICK,First Trust BICK Index Fund ETF,'005380.KS,Hyundai Motor Co,0.009,'005380KS,3/14/13,Korea,Korea SE,,,,Consumer Discretionary,219000,KRW,005380:KS,Korea SE,Consumer Cyclical,Auto-Cars/Light Trucks,,,,Global Equity ETF,220.28,48020272,28200,7.7305,,005380-KOR,9,1,12/27/12,0.87,,,,,,,'KR7005380001,'6451055
First Trust,BICK,First Trust BICK Index Fund ETF,'NATU3.BZ,Natura Cosmeticos SA,0.009,'NATU3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Consumer Staples,48.21,BRL,NATU3:BZ,BM&FBOVESPA,Consumer Non-cyclical,Cosmetics&Toiletries,,,,Global Equity ETF,431.24,22506.38,2.0086,25.9835,,NATU3-BSP,-3,1.0937,2/18/13,4.19,,,,,,,'BRNATUACNOR6,'B014K55
First Trust,BICK,First Trust BICK Index Fund ETF,'PBR,Petroleo Brasileiro SA,0.0089,'PBR,3/14/13,United States,New York,,,,Energy,17.79,USD,PBR:US,New York,Energy,Oil Comp-Integrated,,,,Global Equity ETF,3721.23,102803.97,0,0,,PBR,-5,0.1666,5/14/12,0.82,,,,,,'71654V408,'US71654V4086,'2616580
First Trust,BICK,First Trust BICK Index Fund ETF,'1088.HK,China Shenhua Energy Co Ltd,0.0089,'1088HK,3/14/13,China,Hong Kong,,,,Energy,28.7,HKD,1088:HK,Hong Kong,Energy,Coal,,,,Global Equity ETF,3398.58,563800.44,2.497,9.3202,,1088-HKG,8,0.81,5/31/12,3.78,,,,,,,'CNE1000002R0,'B09N7M0
First Trust,BICK,First Trust BICK Index Fund ETF,'BIDU,Baidu Inc,0.0089,'BIDU,3/14/13,United States,NASDAQ GS,,,,Information Technology,85.17,USD,BIDU:US,NASDAQ GS,Communications,Web Portals/ISP,,,,Global Equity ETF,272.03,32364.26,29.82,19.3172,,BIDU,-5,,,,,,,,,'056752108,'US0567521085,'B0FXT17
First Trust,BICK,First Trust BICK Index Fund ETF,'009540.KS,Hyundai Heavy Industries Co Ltd,0.0089,'009540KS,3/14/13,Korea,Korea SE,,,,Industrials,209500,KRW,009540:KS,Korea SE,Industrial,Shipbuilding,,,,Global Equity ETF,76,16302000,46337,4.6291,,009540-KOR,9,2,12/27/12,1.17,,,,,,,,'6446620
First Trust,BICK,First Trust BICK Index Fund ETF,'1898.HK,China Coal Energy Co Ltd,0.0088,'1898HK,3/14/13,China,Hong Kong,,,,Energy,6.97,HKD,1898:HK,Hong Kong,Energy,Coal,,,,Global Equity ETF,4106.66,116788.69,0.707,8.5131,,1898-HKG,8,0.1935,5/29/12,3.51,,,,,,,'CNE100000528,'B1JNK84
First Trust,BICK,First Trust BICK Index Fund ETF,'009150.KS,Samsung Electro-Mechanics Co Ltd,0.0088,'009150KS,3/14/13,Korea,Korea SE,,,,Information Technology,95100,KRW,009150:KS,Korea SE,Industrial,Electronic Compo-Misc,,,,Global Equity ETF,74.69,7133248,5251,18.187,,009150-KOR,9,1,12/27/12,1.05,,,,,,,,'6771689
First Trust,BICK,First Trust BICK Index Fund ETF,'011170.KS,Lotte Chemical Corp,0.0088,'011170KS,3/14/13,Korea,Korea SE,,,,Materials,206500,KRW,011170:KS,Korea SE,Basic Materials,Petrochemicals,,,,Global Equity ETF,34.28,8157549.5,30701,7.7522,,011170-KOR,9,1,12/28/11,0.74,,,,,,,,'6440020
First Trust,BICK,First Trust BICK Index Fund ETF,'GGB,Gerdau SA,0.0087,'GGB,3/14/13,United States,New York,,,,Materials,7.6,USD,GGB:US,New York,Basic Materials,Steel-Producers,,,,Global Equity ETF,1146.03,13352.57,0,0,,GGB,-5,0.0092,3/5/13,0.5,,,,,,'373737105,'US3737371050,'2297606
First Trust,BICK,First Trust BICK Index Fund ETF,'489.HK,Dongfeng Motor Group Co Ltd,0.0087,'489HK,3/14/13,China,Hong Kong,,,,Consumer Discretionary,10.24,HKD,489:HK,Hong Kong,Consumer Cyclical,Auto-Cars/Light Trucks,,,,Global Equity ETF,2855.73,99602.35,1.1594,8.0015,,0489-HKG,8,0.162,6/25/12,1.9,,,,,,,'CNE100000312,'B0PH5N3
First Trust,BICK,First Trust BICK Index Fund ETF,'883.HK,CNOOC Ltd,0.0085,'883HK,3/14/13,China,Hong Kong,,,,Energy,14.46,HKD,883:HK,Hong Kong,Energy,Oil Comp-Explor&Prodtn,,,,Global Equity ETF,44646.31,664337.06,1.4,8.5294,,0883-HKG,8,0.135,9/6/12,2.89,,,,,,,'HK0883013259,'B00G0S5
First Trust,BICK,First Trust BICK Index Fund ETF,'000270.KS,Kia Motors Corp,0.0083,'000270KS,3/14/13,Korea,Korea SE,,,,Consumer Discretionary,54000,KRW,000270:KS,Korea SE,Consumer Cyclical,Auto-Cars/Light Trucks,,,,Global Equity ETF,405.36,22659812,8573,6.5205,,000270-KOR,9,650,12/27/12,1.16,,,,,,,'KR7000270009,'6490928
First Trust,BICK,First Trust BICK Index Fund ETF,'051910.KS,LG Chem Ltd,0.0081,'051910KS,3/14/13,Korea,Korea SE,,,,Materials,268500,KRW,051910:KS,Korea SE,Basic Materials,Petrochemicals,,,,Global Equity ETF,66.27,19649382,21482,13.8023,,051910-KOR,9,4,12/27/12,1.35,,,,,,,,'6346913
First Trust,BICK,First Trust BICK Index Fund ETF,'028050.KS,Samsung Engineering Co. Ltd.,0.0081,'028050KS,3/14/13,,,,,,Industrials,, ,,,,,,,,Global Equity ETF,,,,,,,,,,,,,,,,,,
First Trust,BICK,First Trust BICK Index Fund ETF,'OGXP3.BZ,OGX Petroleo e Gas Participacoes SA,0.0053,'OGXP3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Energy,2.47,BRL,OGXP3:BZ,BM&FBOVESPA,Energy,Oil Comp-Explor&Prodtn,,,,Global Equity ETF,3236.02,9837.49,-0.3672,0,,OGXP3-BSP,-3,,4/28/09,,,,,,,,'BROGXPACNOR3,'B19RPM5
